dataset,split,1k,2k,3k,4k,5k,6k,7k,8k,9k,10k,k_mean,k_std
HOG_128_16x16.csv,70/30,0.6124259969791143,0.5880614231129696,0.6043110034554009,0.5895602365114561,0.6043110034554009,0.6177731181094056,0.6329767528017042,0.6290956987189524,0.6276763397646676,0.6417663144234335,0.6147957887332505,0.017361607010327195
HOG_128_16x16.csv,10-fold,0.6578851851631875,0.6079127973083904,0.6678730366236805,0.6429318782791118,0.6472202062954333,0.653291427610925,0.6536005614521022,0.6608406187403982,0.6591316716861292,0.6703966291597553,0.6521084012319114,0.016753843486778254
HOG_128_32x32.csv,70/30,0.66114363506672,0.664702581369248,0.630276696206769,0.6334862066569383,0.6053921568627452,0.6523661727406221,0.6202380952380953,0.6631701631701631,0.6003042061895182,0.6488554921749305,0.637993540567575,0.022552548281490746
HOG_128_32x32.csv,10-fold,0.6250621574989614,0.6267614830123496,0.5987802334653468,0.6194062541486887,0.6217637637304552,0.6421629733898607,0.6263856384497648,0.6630847163872875,0.6475614331948819,0.656708124347974,0.632767677762557,0.01841286118985775
HOG_128_8x8.csv,70/30,0.5804673721340389,0.477955588447995,0.53515625,0.4944774439009239,0.5494267949091615,0.5444888918485257,0.5781241617339367,0.5654645318649643,0.5810975609756098,0.5877022077835167,0.5494360803598672,0.03587186218112565
HOG_128_8x8.csv,10-fold,0.5677724698770152,0.48276653849807827,0.5727804277347084,0.5163610614705212,0.5807019147875552,0.5550580539160814,0.6024046875949363,0.5755452438516369,0.6067223244568768,0.5876521892297581,0.5647764911417168,0.03647655396498037
HOG_256_16x16.csv,70/30,0.488478522944676,0.4053030303030303,0.5706793095454628,0.49774607113316793,0.5659005573309323,0.529804625199362,0.541531713900135,0.5310411214249402,0.5647700408338706,0.5584234880682968,0.5253678480683874,0.04815986306725504
HOG_256_16x16.csv,10-fold,0.49942546227952117,0.41930487521131293,0.5477481410739075,0.5206953659011322,0.5962118871068192,0.5671583634697384,0.6148653659773671,0.5794127347943996,0.6010949578622488,0.5778893561059822,0.5523806509782428,0.0559796753188225
HOG_256_32x32.csv,70/30,0.6496585603790678,0.644470980616789,0.6916666666666667,0.6567178525941413,0.7029710981647684,0.6620700961818713,0.6785004914705145,0.6548288596004936,0.6701498548853332,0.651859700358525,0.6662894160918171,0.01831712866108028
HOG_256_32x32.csv,10-fold,0.6657891089692095,0.6268361681284909,0.6875882905662261,0.6598340537359212,0.6805368727586244,0.6622119062843205,0.690452123534636,0.6708183681573215,0.7012808819249613,0.6790783659686084,0.6724426140028319,0.019711489693472847
HOG_256_8x8.csv,70/30,0.397753211180511,0.3859355133724432,0.5161817215478308,0.5040150717246561,0.5248015873015873,0.5179398148148149,0.541219543353541,0.5696014175265415,0.5829268575941282,0.5895602365114561,0.512993497492751,0.06665810941996551
HOG_256_8x8.csv,10-fold,0.4253469617101409,0.3903689700905491,0.5148344370492771,0.5066743996500934,0.5530759678942444,0.5365121019646046,0.5706142756964383,0.5740322157031608,0.5804627416566234,0.5838915503473489,0.523581362176248,0.06358083235041605
LBP_256_12R.csv,70/30,0.6001111188276963,0.5891175294096256,0.6125605479261793,0.5829166666666666,0.6125605479261793,0.6193009849717456,0.5909856854978807,0.5989943431803897,0.5790862977945219,0.5818764568764568,0.5967510179077341,0.013567975755900031
LBP_256_12R.csv,10-fold,0.576186527516765,0.5646210578190475,0.5939931146427557,0.5955012818017438,0.5838965109046219,0.5715506862636932,0.5838697772649574,0.5725756746076972,0.5826862973660965,0.5875768682457936,0.5812457796433173,0.009449478134265294
LBP_256_3R.csv,70/30,0.5374116738137815,0.5478384902348037,0.541793990323402,0.5425191815856778,0.516465263791467,0.5406132111560351,0.5242078382322285,0.5421678008123648,0.5292402356522393,0.5567890442890442,0.5379046729891044,0.011134622548030413
LBP_256_3R.csv,10-fold,0.5285144070471915,0.4900679775418496,0.5422008022717028,0.5143310743214662,0.5388733318928272,0.5291600140619601,0.5458417269644908,0.5336902775176382,0.5386735497750094,0.547737299896507,0.5309090461290643,0.01648255712355889
LBP_256_6R.csv,70/30,0.5535859024460847,0.6036923943561222,0.6124259969791143,0.6111248907471711,0.6054920014880952,0.6109339736524432,0.6534515762830648,0.6333333333333333,0.6153333333333334,0.616506544138123,0.6115879946756886,0.02393476071695091
LBP_256_6R.csv,10-fold,0.5403714911015454,0.5540571149884062,0.614515572535989,0.5692481175465554,0.6102141232429246,0.5755710935233458,0.5971996817102928,0.5822529419452004,0.595023105263672,0.5973081203840824,0.5835761362242013,0.022762183986458108
PCA_075_HOG_128_16x16.csv,70/30,0.641318190238029,0.6169642857142857,0.6246353153653793,0.6844663401398897,0.678949401816256,0.7062018363666174,0.6830253774196535,0.6949246434540552,0.6622714486638536,0.6663414860753024,0.6659098325253322,0.028266670121654017
PCA_075_HOG_128_16x16.csv,10-fold,0.663130797635816,0.6555321390073763,0.6711040327772746,0.695736319406613,0.6727716980223262,0.6951342481292689,0.677606795516318,0.6918644486503887,0.68042261976409,0.7085639265031544,0.6811867025412626,0.015619847797524341
PCA_075_HOG_128_32x32.csv,70/30,0.6232769423558897,0.6210317460317459,0.6442449581898672,0.6874401955496791,0.6357746000515306,0.6539324720876525,0.641685520361991,0.6905942028985507,0.6386316689222878,0.6982440248066337,0.6534856331255827,0.026941130295631437
PCA_075_HOG_128_32x32.csv,10-fold,0.6522625281403751,0.6356958175710046,0.6676073892133632,0.6714511919753556,0.6735862280859047,0.6876573973858627,0.6649321939474053,0.6833977584232244,0.6570220868302513,0.6972694692375816,0.6690882060810328,0.01712538813905524
PCA_075_HOG_128_8x8.csv,70/30,0.5669474321532874,0.5163796944204209,0.5801715246038662,0.5399736714930367,0.555709534368071,0.5568910256410257,0.5848785166240409,0.556686037559206,0.608046134289094,0.5708973157426765,0.5636580886894726,0.023896244989515737
PCA_075_HOG_128_8x8.csv,10-fold,0.5951413593624,0.5218028233936595,0.6019609741394547,0.5511312938525349,0.6064235477686328,0.5560139471964953,0.6065014308093254,0.5719263949619621,0.6247044485371831,0.5950013626845778,0.5830607582706225,0.03017076140337677
PCA_075_HOG_256_16x16.csv,70/30,0.5829166666666666,0.4838639660068232,0.6052255304832624,0.5704242564577544,0.613807584168409,0.5467434092242471,0.6122151385635175,0.5900570956351889,0.5978070805787105,0.5933998454490258,0.5796460573233605,0.03723167381968405
PCA_075_HOG_256_16x16.csv,10-fold,0.5918078457303553,0.510736310604699,0.593946313517208,0.5635543958940673,0.6115123829545075,0.5891341775987575,0.6471210635865815,0.6310691778761212,0.6682685161924086,0.6344909391540318,0.6041641123108736,0.04302691389509199
PCA_075_HOG_256_32x32.csv,70/30,0.7167847550245438,0.6534052268532012,0.7292842668982488,0.7210243781447098,0.7208769538823012,0.7007664035970503,0.6833333333333333,0.6962669683257919,0.67468294892342,0.6872091512531594,0.698363438623576,0.022931020663288438
PCA_075_HOG_256_32x32.csv,10-fold,0.6913409615288126,0.6710946262638856,0.6911301581964133,0.6857344749197213,0.6980434349974588,0.6955709294358556,0.7080255770952644,0.7034048406257577,0.7184072832544499,0.7073489690791711,0.697010125539679,0.012631581247129037
PCA_075_HOG_256_8x8.csv,70/30,0.4881650715241329,0.4232799217062829,0.5105298378208156,0.5087053196845108,0.5238057825267127,0.5207914151576123,0.541219543353541,0.542819112362708,0.5668472723904788,0.5773096638556209,0.5203472940382416,0.04129096703791825
PCA_075_HOG_256_8x8.csv,10-fold,0.4875319066832634,0.41339309362464033,0.5355787758962545,0.5189068557432677,0.5681806288911002,0.5519790673408748,0.5834660338496043,0.5817486202755159,0.6042447007655329,0.6034471365214906,0.5448476819591545,0.05633337138276159
PCA_090_HOG_128_16x16.csv,70/30,0.6286836011000145,0.5868055555555555,0.5996110030564045,0.6267259031739065,0.610482579094914,0.653133498721734,0.6272360165531972,0.666108630952381,0.6444099874156938,0.6498538011695907,0.6293050576793392,0.023719731886655944
PCA_090_HOG_128_16x16.csv,10-fold,0.6609027405826683,0.6434896577005581,0.6733541257653329,0.6616109789171329,0.6565708429559459,0.6722568191227193,0.6627929942261772,0.6953738290307,0.6742465160905986,0.6925632593299937,0.6693161763721828,0.015069337272914707
PCA_090_HOG_128_32x32.csv,70/30,0.6523661727406221,0.6686668129296475,0.6349561156481742,0.6542207040631494,0.6407235490043228,0.6491240266963293,0.6472754687949636,0.6738695652173912,0.636940153244501,0.6463286713286713,0.6504471239667772,0.012017568876027018
PCA_090_HOG_128_32x32.csv,10-fold,0.6515642350615843,0.6408203594809692,0.6404055533999561,0.6563397215678158,0.6430799503576082,0.6584308179868993,0.6645285523600452,0.6766317722124023,0.6615843533016152,0.6766053320713523,0.6569990647800247,0.012690255586204843
PCA_090_HOG_128_8x8.csv,70/30,0.5407619255804916,0.44921919882127914,0.5279870473169442,0.4944774439009239,0.5473536658272794,0.5160658307210031,0.5194049936317977,0.5098508752159867,0.5726348854397635,0.5689814814814814,0.5246737347936951,0.03460406244461885
PCA_090_HOG_128_8x8.csv,10-fold,0.5756066456218681,0.4825547787257305,0.56859965309241,0.5036719150789988,0.5761240476386154,0.5371847859735901,0.583207149376858,0.5704851438368272,0.5962756096960167,0.5830400252860548,0.557674975432697,0.03565090605914611
PCA_090_HOG_256_16x16.csv,70/30,0.5287926531539204,0.43606321839080464,0.564597335700526,0.5354487590928539,0.572135192105011,0.5521444375836163,0.5464633036313117,0.5411290322580645,0.5706793095454628,0.5513888888888889,0.539884213035046,0.03721317187983441
PCA_090_HOG_256_16x16.csv,10-fold,0.5180493886824146,0.43624543259766196,0.5478367385030428,0.514118654672455,0.5935867935886219,0.5691032545775362,0.6186427718879888,0.577960227779144,0.615742248984125,0.5877354311300305,0.557902094240302,0.053040565911604304
PCA_090_HOG_256_32x32.csv,70/30,0.683465314439196,0.6471942281264316,0.70012503473187,0.6982003067101767,0.7167454579162033,0.6671770900494305,0.682803199404762,0.6415753277455406,0.6785004914705145,0.6441815856777494,0.6759968036271874,0.02438937440755987
PCA_090_HOG_256_32x32.csv,10-fold,0.6882679726494552,0.6532164674940305,0.6888226814538545,0.6715193303241035,0.6895144097190143,0.6715578374861033,0.6870100673169262,0.6625115668592927,0.7013988894699836,0.6826713914660738,0.6796490614238837,0.013842240112088029
PCA_090_HOG_256_8x8.csv,70/30,0.3894688644688644,0.37102334008395604,0.4879517719532476,0.48877270960847174,0.4991629464285714,0.496498674690164,0.496052250687509,0.5359634238310709,0.5635230654761905,0.5528347513641632,0.4881251798592208,0.059884732908183205
PCA_090_HOG_256_8x8.csv,10-fold,0.395964071169817,0.3654499428743841,0.49953111967982766,0.5054209116785856,0.557815145445788,0.5408538492621439,0.5465209354071685,0.5691473872604632,0.565179920346495,0.5717333511585199,0.5117616634283193,0.06994620329195961
